cust_id,recommended_movie
6056,Kill Bill: Vol. 2
6056,Clerks
6206,North by Northwest
6206,Talk to Her
6206,Reservoir Dogs
6460,The Maltese Falcon
6460,Alien: Collector's Edition
6460,Thirteen
6504,Batman Begins
6504,Blade: Trinity
6504,Stargate
6544,Clerks
6544,"Lock, Stock and Two Smoking Barrels"
6544,Fear and Loathing in Las Vegas
6629,The Full Monty
6629,Elizabeth
6629,The King and I
6699,Fear and Loathing in Las Vegas
6699,Casino: 10th Anniversary Edition
6699,The Deer Hunter
6766,Friends: Season 2
6766,Bridget Jones's Diary
6766,Beaches
6785,Fear and Loathing in Las Vegas
6785,The Deer Hunter
6785,This Is Spinal Tap
7063,A Streetcar Named Desire
7063,Network
7063,The Maltese Falcon
7134,Sideways
7134,Bottle Rocket
7134,25th Hour
7576,The Hand that Rocks the Cradle
7576,Don't Say a Word
7576,Dirty Rotten Scoundrels
7599,Spirited Away
7599,Dawn of the Dead
7599,The Professional
7601,Taking Lives
7601,Coach Carter
7601,50 First Dates
7628,Taxi
7628,Hostage
7628,Brother Bear (Theatrical Widescreen Version)
7730,The Hand that Rocks the Cradle
7730,Identity
7730,Man on Fire
7748,"Lock, Stock and Two Smoking Barrels"
7748,Chasing Amy
7748,Bottle Rocket
7921,"Lock, Stock and Two Smoking Barrels"
7921,Fear and Loathing in Las Vegas
7921,Eternal Sunshine of the Spotless Mind
8095,Brother Bear (Theatrical Widescreen Version)
8095,The Emperor's New Groove
8095,The Lion King: Special Edition
8117,The Matrix: Reloaded
8117,The Rundown
8117,The Italian Job
8121,Heathers
8121,The Professional
8121,Dirty Rotten Scoundrels
8135,The Hand that Rocks the Cradle
8135,Dirty Rotten Scoundrels
8135,Identity
8158,The Hand that Rocks the Cradle
8158,Dirty Rotten Scoundrels
8158,The Recruit
8200,Robin Hood: Prince of Thieves
8200,Lethal Weapon 3
8200,Lilo and Stitch
8212,Seven Samurai
8212,The Sting
8212,Igby Goes Down
8660,Eternal Sunshine of the Spotless Mind
8660,Garden State
8660,The Life Aquatic with Steve Zissou
8748,Pay It Forward
8748,Brother Bear (Theatrical Widescreen Version)
8748,The Alamo
8757,"Lock, Stock and Two Smoking Barrels"
8757,The Professional
8757,Chasing Amy
8815,Brother Bear (Theatrical Widescreen Version)
8815,50 First Dates
8815,A Cinderella Story
9321,Taking Lives
9321,Ray
9321,Freaky Friday
9399,Coach Carter
9399,Taxi
9399,Hostage
9557,Look Who's Talking Too
9557,A Cinderella Story
9557,Freaky Friday
9850,Taxi
9850,Brother Bear (Theatrical Widescreen Version)
9850,A Cinderella Story
9964,Beaches
9964,An Officer and a Gentleman
9964,America's Sweethearts
10016,A Streetcar Named Desire
10016,The Sting
10016,Rosemary's Baby
10251,A Streetcar Named Desire
10251,Seven Samurai
10251,Network
10268,The Maltese Falcon
10268,Seven Samurai
10268,Talk to Her
10273,Cocoon
10273,While You Were Sleeping
10273,Dangerous Minds
10337,Taking Lives
10337,Coach Carter
10337,A Man Apart
10374,Casino: 10th Anniversary Edition
10374,Dangerous Minds
10374,The Professional
10470,Kill Bill: Vol. 2
10470,Fear and Loathing in Las Vegas
10470,Casino: 10th Anniversary Edition
10638,Whale Rider
10638,The Motorcycle Diaries
10638,Rabbit-Proof Fence
10679,Don't Say a Word
10679,Taking Lives
10679,The Recruit
10733,Bad Boys II
10733,U.S. Marshals
10733,End of Days
10897,Taking Lives
10897,Taxi
10897,Hostage
10901,50 First Dates
10901,The Pacifier
10901,Look Who's Talking
10943,The Pacifier
10943,Around the World in 80 Days
10943,Dr. Dolittle 2
10947,Sex and the City: Season 4
10947,The Rocky Horror Picture Show
10947,Life as a House
10954,Friends: Season 2
10954,Frida
10954,Thirteen
11043,Around the World in 80 Days
11043,The Addams Family
11043,Spirited Away
11215,Hostage
11215,Hollow Man
11215,U.S. Marshals
11430,Casino: 10th Anniversary Edition
11430,Don't Say a Word
11430,Dirty Rotten Scoundrels
11462,Ghost
11462,Taxi
11462,The Missing
11540,The Professional
11540,This Is Spinal Tap
11540,Bottle Rocket
11583,Casino: 10th Anniversary Edition
11583,Dirty Rotten Scoundrels
11583,Identity
11796,Talk to Her
11796,Y Tu Mama Tambien
11796,Whale Rider
12253,Eternal Sunshine of the Spotless Mind
12253,Garden State
12253,Sideways
12798,Alien: Collector's Edition
12798,The Sting
12798,The Deer Hunter
12812,"Lock, Stock and Two Smoking Barrels"
12812,The Professional
12812,Bottle Rocket
13013,Around the World in 80 Days
13013,Blade: Trinity
13013,Exit Wounds
13197,Cocoon
13197,Footloose: Special Collector's Edition
13197,Goldfinger
13227,Forever Young
13227,The Hand that Rocks the Cradle
13227,Don't Say a Word
13266,Little Nicky
13266,The Hitchhiker's Guide to the Galaxy
13266,History of the World: Part 1
13333,Flatliners
13333,Dirty Rotten Scoundrels
13333,Bram Stoker's Dracula
13432,Taking Lives
13432,S.W.A.T.
13432,Coach Carter
13586,Dawn of the Dead
13586,The Rundown
13586,Blade: Trinity
13620,Brother Bear (Theatrical Widescreen Version)
13620,The Emperor's New Groove
13620,The Lion King: Special Edition
13843,Casino: 10th Anniversary Edition
13843,The Family Man
13843,Hostage
13856,Eternal Sunshine of the Spotless Mind
13856,Garden State
13856,28 Days Later
13891,Saw
13891,Bad Boys
13891,Pay It Forward
13938,Stargate
13938,Robin Hood: Prince of Thieves
13938,Superman: The Movie
14081,Fried Green Tomatoes
14081,Frida
14081,Footloose: Special Collector's Edition
14164,Batman Begins
14164,Blade: Trinity
14164,The Bourne Supremacy
14642,Batman Begins
14642,Daredevil
14642,Blade: Trinity
14682,Fear and Loathing in Las Vegas
14682,Eternal Sunshine of the Spotless Mind
14682,Bottle Rocket
14690,Coach Carter
14690,Something's Gotta Give
14690,Hostage
14704,The Matrix: Reloaded
14704,Daredevil
14704,Blade: Trinity
14728,Kill Bill: Vol. 2
14728,Fear and Loathing in Las Vegas
14728,Casino: 10th Anniversary Edition
14756,Spirited Away
14756,The Mummy
14756,Stargate
14817,A Streetcar Named Desire
14817,Seven Samurai
14817,Talk to Her
15104,Singin' in the Rain
15104,Cocoon
15104,Sex and the City: Season 4
15191,Friends: Season 2
15191,Sixteen Candles
15191,Whale Rider
15217,Friends: Season 2
15217,The King and I
15217,The Motorcycle Diaries
15233,Brother Bear (Theatrical Widescreen Version)
15233,The Emperor's New Groove
15233,Aladdin: Platinum Edition
15402,Beverly Hills Cop
15402,Ace Ventura: When Nature Calls
15402,War Games
15420,Flatliners
15420,Dirty Rotten Scoundrels
15420,The Hurricane
15425,Chasing Amy
15425,The Hitchhiker's Guide to the Galaxy
15425,National Lampoon's Van Wilder
15458,What Women Want
15458,Ghost
15458,Taxi
15732,Fear and Loathing in Las Vegas
15732,Casino: 10th Anniversary Edition
15732,"The Godfather, Part II"
15737,Fried Green Tomatoes
15737,Frida
15737,Elizabeth
15814,The Life Aquatic with Steve Zissou
15814,Napoleon Dynamite
15814,25th Hour
15846,What Women Want
15846,Coach Carter
15846,Taxi
16029,Kill Bill: Vol. 2
16029,"Lock, Stock and Two Smoking Barrels"
16029,Fear and Loathing in Las Vegas
16051,S.W.A.T.
16051,Look Who's Talking Too
16051,Taking Lives
16074,A Cinderella Story
16074,Uptown Girls
16074,Ghost Ship
16272,Ghost
16272,Igby Goes Down
16272,Coach Carter
16273,Jurassic Park III
16273,Dr. Dolittle 2
16273,The Mask: Special Edition
16287,Goldfinger
16287,Dawn of the Dead
16287,North by Northwest
16355,Batman Begins
16355,The Matrix: Reloaded
16355,Daredevil
16386,The Mask: Special Edition
16386,Look Who's Talking Too
16386,Little Nicky
16475,The Deer Hunter
16475,Chasing Amy
16475,Seven Samurai
16479,Brother Bear (Theatrical Widescreen Version)
16479,Secondhand Lions
16479,Bad Boys
16558,Uptown Girls
16558,Look Who's Talking
16558,Blade: Trinity
16565,Clerks
16565,Eternal Sunshine of the Spotless Mind
16565,Chasing Amy
16581,Aladdin: Platinum Edition
16581,Look Who's Talking Too
16581,50 First Dates
16786,"Lock, Stock and Two Smoking Barrels"
16786,Eternal Sunshine of the Spotless Mind
16786,Being John Malkovich
17186,A Streetcar Named Desire
17186,Rosemary's Baby
17186,Reservoir Dogs
17189,The Rundown
17189,Rush Hour 2
17189,Sleepy Hollow
17227,Taking Lives
17227,Taxi
17227,Beaches
17421,Porky's
17421,The Sandlot
17421,Look Who's Talking
17433,Spirited Away
17433,Talk to Her
17433,Y Tu Mama Tambien
17451,Brother Bear (Theatrical Widescreen Version)
17451,The Emperor's New Groove
17451,Aladdin: Platinum Edition
17462,Singin' in the Rain
17462,Goldfinger
17462,Talk to Her
17634,Casino: 10th Anniversary Edition
17634,Don't Say a Word
17634,Dirty Rotten Scoundrels
17691,Network
17691,Reservoir Dogs
17691,Seven Samurai
17860,Bridget Jones's Diary
17860,Frida
17860,Whale Rider
17864,Talk to Her
17864,A Streetcar Named Desire
17864,The Hitchhiker's Guide to the Galaxy
17890,Igby Goes Down
17890,Thirteen
17890,The Life Aquatic with Steve Zissou
17916,Batman Begins
17916,The Matrix: Reloaded
17916,Daredevil
18106,Friends: Season 2
18106,Beaches
18106,Fried Green Tomatoes
18108,The Maltese Falcon
18108,Singin' in the Rain
18108,Talk to Her
18360,Coach Carter
18360,Taxi
18360,Ray
18415,While You Were Sleeping
18415,Robin Hood: Prince of Thieves
18415,Look Who's Talking Too
18432,Casino: 10th Anniversary Edition
18432,Dirty Rotten Scoundrels
18432,The Hurricane
18786,Rabbit-Proof Fence
18786,Thirteen
18786,Swimming Pool
18830,Aladdin: Platinum Edition
18830,Look Who's Talking Too
18830,A Cinderella Story
18856,Moonstruck
18856,Dirty Rotten Scoundrels
18856,War Games
18907,Seven Samurai
18907,Talk to Her
18907,The Pianist
19080,Whale Rider
19080,The Motorcycle Diaries
19080,Frida
19106,Sister Act 2: Back in the Habit
19106,Exit Wounds
19106,S.W.A.T.
19117,The Professional
19117,Monty Python's The Meaning of Life: Special Edition
19117,Rosemary's Baby
19475,Exit Wounds
19475,A Man Apart
19475,America's Sweethearts
19573,Dawn of the Dead
19573,Blade: Trinity
19573,Hostage
19596,Patch Adams
19596,What Women Want
19596,Forever Young
19915,Poltergeist
19915,A Nightmare on Elm Street
19915,Superman: The Movie
19930,Coach Carter
19930,Taxi
19930,Hostage
19938,U.S. Marshals
19938,Coach Carter
19938,The Wedding Planner
19970,Sex and the City: Season 4
19970,The Others
19970,The Rocky Horror Picture Show
20223,A Streetcar Named Desire
20223,"The Godfather, Part II"
20223,Network
20328,Bend It Like Beckham
20328,Moonstruck
20328,Elizabeth
20392,Look Who's Talking Too
20392,Around the World in 80 Days
20392,The Scorpion King
20461,Coach Carter
20461,The Alamo
20461,Look Who's Talking Too
20634,Reservoir Dogs
20634,Eternal Sunshine of the Spotless Mind
20634,Garden State
20658,Casino: 10th Anniversary Edition
20658,The Deer Hunter
20658,"The Godfather, Part II"
20774,The Hand that Rocks the Cradle
20774,Don't Say a Word
20774,Identity
20814,Sex and the City: Season 4
20814,About a Boy
20814,While You Were Sleeping
21117,Ever After: A Cinderella Story
21117,The King and I
21117,Singin' in the Rain
21157,Brother Bear (Theatrical Widescreen Version)
21157,Look Who's Talking Too
21157,A Cinderella Story
21364,The Maltese Falcon
21364,Seven Samurai
21364,Network
21386,"Lock, Stock and Two Smoking Barrels"
21386,Fear and Loathing in Las Vegas
21386,Casino: 10th Anniversary Edition
21591,Casino: 10th Anniversary Edition
21591,Midnight Cowboy
21591,The Silence of the Lambs
21677,Sixteen Candles
21677,Heathers
21677,History of the World: Part 1
21705,Hostage
21705,Blade: Trinity
21705,Taking Lives
21823,28 Days Later
21823,Dawn of the Dead
21823,Fear and Loathing in Las Vegas
21983,A Cinderella Story
21983,The Pacifier
21983,Coach Carter
22018,History of the World: Part 1
22018,Major League
22018,Superman: The Movie
22663,Talk to Her
22663,The Pianist
22663,Rosemary's Baby
22670,Bend It Like Beckham
22670,Seven Samurai
22670,Spirited Away
22709,Casino: 10th Anniversary Edition
22709,Dirty Rotten Scoundrels
22709,Taking Lives
22718,The Maltese Falcon
22718,"The Godfather, Part II"
22718,This Is Spinal Tap
22842,Brother Bear (Theatrical Widescreen Version)
22842,The Lion King: Special Edition
22842,Aladdin: Platinum Edition
22853,Sleepless in Seattle
22853,Ever After: A Cinderella Story
22853,10 Things I Hate About You
23042,Casino: 10th Anniversary Edition
23042,Bram Stoker's Dracula
23042,Training Day
23051,Singin' in the Rain
23051,Seven Samurai
23051,Network
23316,Midnight Cowboy
23316,A Streetcar Named Desire
23316,The Deer Hunter
23354,Secondhand Lions
23354,Taxi
23354,The Missing
23421,Seven Samurai
23421,Goldfinger
23421,Rosemary's Baby
23427,The Matrix: Reloaded
23427,Blade: Trinity
23427,The Matrix: Revolutions
23713,Taxi
23713,Hostage
23713,The Missing
24059,"Lock, Stock and Two Smoking Barrels"
24059,Fear and Loathing in Las Vegas
24059,Bottle Rocket
24294,Clerks
24294,"Lock, Stock and Two Smoking Barrels"
24294,Casino: 10th Anniversary Edition
24344,Casino: 10th Anniversary Edition
24344,The Deer Hunter
24344,The Professional
24600,Batman Begins
24600,Stargate
24600,Rush Hour 2
24705,"Lock, Stock and Two Smoking Barrels"
24705,Fear and Loathing in Las Vegas
24705,Casino: 10th Anniversary Edition
24801,Dirty Rotten Scoundrels
24801,Taking Lives
24801,U.S. Marshals
24995,Coach Carter
24995,A Man Apart
24995,Blade: Trinity
25049,The Sting
25049,Talk to Her
25049,The King and I
25354,The Others
25354,Pay It Forward
25354,Flatliners
25382,A Streetcar Named Desire
25382,Network
25382,Rosemary's Baby
25435,Kill Bill: Vol. 2
25435,Eternal Sunshine of the Spotless Mind
25435,"The Godfather, Part II"
25483,Brother Bear (Theatrical Widescreen Version)
25483,A Cinderella Story
25483,The Pacifier
25533,Casino: 10th Anniversary Edition
25533,Dirty Rotten Scoundrels
25533,Bram Stoker's Dracula
25629,Sex and the City: Season 4
25629,About a Boy
25629,Love Actually
25755,Flatliners
25755,The Hand that Rocks the Cradle
25755,Dirty Rotten Scoundrels
25825,The Pacifier
25825,Around the World in 80 Days
25825,Blade: Trinity
26101,Clerks
26101,Fear and Loathing in Las Vegas
26101,Casino: 10th Anniversary Edition
26124,Don't Say a Word
26124,Identity
26124,Taking Lives
26210,Die Hard 2: Die Harder
26210,U.S. Marshals
26210,50 First Dates
26334,28 Days Later
26334,"Lock, Stock and Two Smoking Barrels"
26334,Spirited Away
26517,Brother Bear (Theatrical Widescreen Version)
26517,Finding Nemo (Widescreen)
26517,Freaky Friday
26592,The Deer Hunter
26592,A Streetcar Named Desire
26592,Lethal Weapon
26674,Coach Carter
26674,Pay It Forward
26674,Ray
26757,Batman Begins
26757,The Rundown
26757,Sleepy Hollow
26762,Batman Begins
26762,Sleepy Hollow
26762,Men in Black II
27061,Coach Carter
27061,50 First Dates
27061,Taxi
27165,Fear and Loathing in Las Vegas
27165,Eternal Sunshine of the Spotless Mind
27165,The Deer Hunter
27318,Brother Bear (Theatrical Widescreen Version)
27318,Look Who's Talking Too
27318,A Cinderella Story
27349,Pay It Forward
27349,Patch Adams
27349,Beaches
27434,The Mummy
27434,Jurassic Park III
27434,The Scorpion King
27753,The Professional
27753,Bottle Rocket
27753,Y Tu Mama Tambien
27870,Dangerous Minds
27870,U.S. Marshals
27870,First Knight
28277,A Cinderella Story
28277,The Pacifier
28277,Robin Hood: Prince of Thieves
28338,Hollow Man
28338,Collateral Damage
28338,U.S. Marshals
28346,Midnight Cowboy
28346,A Streetcar Named Desire
28346,Network
28656,American Beauty
28656,Seven Samurai
28656,Boyz N the Hood
28658,Kill Bill: Vol. 2
28658,"Lock, Stock and Two Smoking Barrels"
28658,Fear and Loathing in Las Vegas
29000,The Maltese Falcon
29000,The Sting
29000,Casino: 10th Anniversary Edition
29185,The Maltese Falcon
29185,Talk to Her
29185,This Is Spinal Tap
29236,Look Who's Talking Too
29236,A Cinderella Story
29236,Hostage
29395,Midnight Cowboy
29395,A Streetcar Named Desire
29395,Network
29706,28 Days Later
29706,Boyz N the Hood
29706,Aliens: Collector's Edition
29815,Coach Carter
29815,Taxi
29815,Pay It Forward
29827,Rush Hour 2
29827,Sleepy Hollow
29827,Dawn of the Dead
29875,Look Who's Talking Too
29875,S.W.A.T.
29875,What Women Want
29948,The Maltese Falcon
29948,A Streetcar Named Desire
29948,Singin' in the Rain
30245,Dr. Dolittle 2
30245,The Mask: Special Edition
30245,Look Who's Talking Too
30270,Casino: 10th Anniversary Edition
30270,The Deer Hunter
30270,The Professional
30274,Blade: Trinity
30274,Stargate
30274,The Mummy
30288,Frida
30288,Footloose: Special Collector's Edition
30288,Mean Girls
30751,Bridget Jones's Diary
30751,Footloose: Special Collector's Edition
30751,Whale Rider
30873,The Hand that Rocks the Cradle
30873,Casino: 10th Anniversary Edition
30873,Don't Say a Word
30878,Clerks
30878,National Lampoon's Van Wilder
30878,Harold and Kumar Go to White Castle
30893,Lethal Weapon 3
30893,Sister Act 2: Back in the Habit
30893,Robin Hood: Prince of Thieves
30941,Eternal Sunshine of the Spotless Mind
30941,The Deer Hunter
30941,The Professional
30976,Coach Carter
30976,Taxi
30976,Pay It Forward
31259,A Cinderella Story
31259,The Scorpion King
31259,Forever Young
31387,The Deer Hunter
31387,Chasing Amy
31387,Seven Samurai
31503,Midnight Cowboy
31503,A Streetcar Named Desire
31503,"The Godfather, Part II"
31550,Coach Carter
31550,Secondhand Lions
31550,Taxi
31724,Coach Carter
31724,Pay It Forward
31724,Brother Bear (Theatrical Widescreen Version)
31835,The Matrix: Reloaded
31835,Blade: Trinity
31835,Men in Black II
32141,Chasing Amy
32141,The Life Aquatic with Steve Zissou
32141,This Is Spinal Tap
32754,Taking Lives
32754,Secondhand Lions
32754,Taxi
32885,Fear and Loathing in Las Vegas
32885,Eternal Sunshine of the Spotless Mind
32885,The Life Aquatic with Steve Zissou
32902,Brother Bear (Theatrical Widescreen Version)
32902,A Cinderella Story
32902,The Pacifier
33051,Coach Carter
33051,Taxi
33051,Ray
33089,Lethal Weapon 3
33089,The Wedding Planner
33089,Men in Black II
33430,U.S. Marshals
33430,Coach Carter
33430,History of the World: Part 1
33609,Taking Lives
33609,Coach Carter
33609,Taxi
33612,Dawn of the Dead
33612,End of Days
33612,The Mask: Special Edition
33696,Jaws
33696,Alien: Collector's Edition
33696,Aliens: Collector's Edition
33711,The Lion King: Special Edition
33711,Aladdin: Platinum Edition
33711,Look Who's Talking Too
33758,Casino: 10th Anniversary Edition
33758,The Deer Hunter
33758,Chasing Amy
34408,A Streetcar Named Desire
34408,Singin' in the Rain
34408,The Sting
34413,Network
34413,The King and I
34413,The Deer Hunter
34669,Friends: Season 2
34669,Bend It Like Beckham
34669,Elizabeth
34762,Superman: The Movie
34762,An Officer and a Gentleman
34762,Aladdin: Platinum Edition
35017,The Recruit
35017,Man on Fire
35017,Taking Lives
35036,The King and I
35036,Dirty Rotten Scoundrels
35036,When Harry Met Sally
35111,Taking Lives
35111,Coach Carter
35111,Secondhand Lions
35206,The Maltese Falcon
35206,A Streetcar Named Desire
35206,Singin' in the Rain
35224,Midnight Cowboy
35224,A Streetcar Named Desire
35224,"The Godfather, Part II"
35256,Coach Carter
35256,Secondhand Lions
35256,Along Came Polly
35511,The Pacifier
35511,A Cinderella Story
35511,2 Fast 2 Furious
35528,Taking Lives
35528,Coach Carter
35528,Secondhand Lions
35580,Little Nicky
35580,Porky's
35580,The Addams Family
35824,Batman Begins
35824,Stargate
35824,Superman: The Movie
35994,Sex and the City: Season 4
35994,When Harry Met Sally
35994,Whale Rider
35996,This Is Spinal Tap
35996,The Life Aquatic with Steve Zissou
35996,Midnight Cowboy
36104,Secondhand Lions
36104,Look Who's Talking Too
36104,Life as a House
36123,Dangerous Minds
36123,U.S. Marshals
36123,Taking Lives
36185,Don't Say a Word
36185,The Wedding Planner
36185,Look Who's Talking Too
36194,Blade: Trinity
36194,Little Nicky
36194,Hostage
36212,Taxi
36212,Hostage
36212,The Missing
36217,Rosemary's Baby
36217,A Nightmare on Elm Street
36217,"The Godfather, Part II"
36329,Coach Carter
36329,Secondhand Lions
36329,Taxi
36478,S.W.A.T.
36478,The Recruit
36478,U.S. Marshals
36581,Taxi
36581,Hostage
36581,Brother Bear (Theatrical Widescreen Version)
36598,The Hand that Rocks the Cradle
36598,Stargate
36598,Pay It Forward
36629,"Lock, Stock and Two Smoking Barrels"
36629,"The Godfather, Part II"
36629,Chasing Amy
36822,Taxi
36822,Ray
36822,The Missing
37188,Elizabeth
37188,The King and I
37188,The Emperor's New Groove
37362,On Golden Pond
37362,Fried Green Tomatoes
37362,Nine to Five
37591,Coach Carter
37591,Secondhand Lions
37591,Taxi
37609,Clerks
37609,Fear and Loathing in Las Vegas
37609,The Deer Hunter
37797,Singin' in the Rain
37797,Rosemary's Baby
37797,Talk to Her
37931,The Bourne Supremacy
37931,The Rundown
37931,S.W.A.T.
38147,Brother Bear (Theatrical Widescreen Version)
38147,The Emperor's New Groove
38147,Look Who's Talking Too
38244,"Lock, Stock and Two Smoking Barrels"
38244,Casino: 10th Anniversary Edition
38244,Eternal Sunshine of the Spotless Mind
38284,Alien: Collector's Edition
38284,The Silence of the Lambs
38284,"The Godfather, Part II"
38464,Along Came Polly
38464,Taxi
38464,Hostage
38514,Fear and Loathing in Las Vegas
38514,Casino: 10th Anniversary Edition
38514,The Deer Hunter
38859,Flatliners
38859,Bram Stoker's Dracula
38859,Hostage
38879,Superman: The Movie
38879,Ray
38879,Network
38908,Taking Lives
38908,A Man Apart
38908,Bad Boys
38946,Batman Begins
38946,Dawn of the Dead
38946,Shanghai Noon
38955,Coach Carter
38955,Taking Lives
38955,The Sum of All Fears
38958,Four Weddings and a Funeral
38958,Fried Green Tomatoes
38958,Elizabeth
39147,Batman Begins
39147,Stargate
39147,Robin Hood: Prince of Thieves
39242,25th Hour
39242,Y Tu Mama Tambien
39242,The Hitchhiker's Guide to the Galaxy
39297,Kill Bill: Vol. 2
39297,This Is Spinal Tap
39297,Seven Samurai
39375,Chasing Amy
39375,From Hell
39375,Bram Stoker's Dracula
39450,Taking Lives
39450,Taxi
39450,The Wedding Planner
39490,"Lock, Stock and Two Smoking Barrels"
39490,The Deer Hunter
39490,"The Godfather, Part II"
39526,"The Godfather, Part II"
39526,The Sting
39526,North by Northwest
39551,Chasing Amy
39551,The Hitchhiker's Guide to the Galaxy
39551,History of the World: Part 1
39771,Bad Boys
39771,Beverly Hills Cop III
39771,U.S. Marshals
39809,High Fidelity
39809,Garden State
39809,25th Hour
39896,A Streetcar Named Desire
39896,Rosemary's Baby
39896,Seven Samurai
39968,Chasing Amy
39968,Frida
39968,Network
40112,Flatliners
40112,The Hand that Rocks the Cradle
40112,Dirty Rotten Scoundrels
40136,"Lock, Stock and Two Smoking Barrels"
40136,Casino: 10th Anniversary Edition
40136,The Life Aquatic with Steve Zissou
40445,Wonder Boys
40445,Igby Goes Down
40445,Heathers
40450,Look Who's Talking Too
40450,Look Who's Talking
40450,Sister Act 2: Back in the Habit
40563,The English Patient
40563,Moonstruck
40563,High Fidelity
40851,Chasing Amy
40851,Clerks
40851,The Life Aquatic with Steve Zissou
41068,Coach Carter
41068,Taking Lives
41068,Hostage
41153,Eternal Sunshine of the Spotless Mind
41153,Igby Goes Down
41153,Bowling for Columbine
41317,Being John Malkovich
41317,This Is Spinal Tap
41317,Bottle Rocket
41412,Men in Black II
41412,End of Days
41412,Hollow Man
41422,Flatliners
41422,Taking Lives
41422,Hostage
41701,A Streetcar Named Desire
41701,The Maltese Falcon
41701,Seven Samurai
41724,A Man Apart
41724,Uptown Girls
41724,Duplex (Widescreen)
42064,A Man Apart
42064,A Cinderella Story
42064,The Alamo
42072,Eternal Sunshine of the Spotless Mind
42072,Chasing Amy
42072,Heathers
42128,The Deer Hunter
42128,Seven Samurai
42128,Boyz N the Hood
42147,Taxi
42147,Hostage
42147,Brother Bear (Theatrical Widescreen Version)
42275,History of the World: Part 1
42275,A Mighty Wind
42275,Heathers
42416,Coach Carter
42416,Look Who's Talking Too
42416,Dr. Dolittle 2
42477,The Hand that Rocks the Cradle
42477,Dirty Rotten Scoundrels
